"","beach_id","region","council","site","longitude","latitude","date","beachbugs","year","month","day"
"1",25,"Sydney City Ocean Beaches","Randwick Council","Clovelly Beach",151.267505,-33.914486,"02/01/2013",19,"2013","01","02"
"2",25,"Sydney City Ocean Beaches","Randwick Council","Clovelly Beach",151.267505,-33.914486,"06/01/2013",3,"2013","01","06"
"3",25,"Sydney City Ocean Beaches","Randwick Council","Clovelly Beach",151.267505,-33.914486,"12/01/2013",2,"2013","01","12"
"4",25,"Sydney City Ocean Beaches","Randwick Council","Clovelly Beach",151.267505,-33.914486,"18/01/2013",13,"2013","01","18"
"5",25,"Sydney City Ocean Beaches","Randwick Council","Clovelly Beach",151.267505,-33.914486,"30/01/2013",8,"2013","01","30"
"6",25,"Sydney City Ocean Beaches","Randwick Council","Clovelly Beach",151.267505,-33.914486,"05/02/2013",7,"2013","02","05"
"7",25,"Sydney City Ocean Beaches","Randwick Council","Clovelly Beach",151.267505,-33.914486,"11/02/2013",11,"2013","02","11"
"8",25,"Sydney City Ocean Beaches","Randwick Council","Clovelly Beach",151.267505,-33.914486,"23/02/2013",97,"2013","02","23"
"9",25,"Sydney City Ocean Beaches","Randwick Council","Clovelly Beach",151.267505,-33.914486,"07/03/2013",3,"2013","03","07"
"10",25,"Sydney City Ocean Beaches","Randwick Council","Clovelly Beach",151.267505,-33.914486,"25/03/2013",0,"2013","03","25"
"11",25,"Sydney City Ocean Beaches","Randwick Council","Clovelly Beach",151.267505,-33.914486,"02/04/2013",6,"2013","04","02"
"12",25,"Sydney City Ocean Beaches","Randwick Council","Clovelly Beach",151.267505,-33.914486,"12/04/2013",0,"2013","04","12"
"13",25,"Sydney City Ocean Beaches","Randwick Council","Clovelly Beach",151.267505,-33.914486,"18/04/2013",1,"2013","04","18"
"14",25,"Sydney City Ocean Beaches","Randwick Council","Clovelly Beach",151.267505,-33.914486,"24/04/2013",8,"2013","04","24"
"15",25,"Sydney City Ocean Beaches","Randwick Council","Clovelly Beach",151.267505,-33.914486,"01/05/2013",3,"2013","05","01"
